symbol,mcap_mm,is_auto,desc
CMG,31606,False,Chipotle Mexican Grill Inc.
DOW,31579,False,Dow Inc.
INFO,31579,False,IHS Markit Ltd.
CTAS,31293,False,Cintas Corporation
APH,31147,False,Amphenol Corporation
ROST,30666,False,Ross Stores Inc.
ES,30650,False,Eversource Energy
IDXX,30510,False,IDEXX Laboratories Inc.
TROW,30484,False,T. Rowe Price Group Inc.
STZ,30218,False,Constellation Brands Inc.
IQV,30197,False,IQVIA Holdings Inc.
TRV,29947,False,The Travelers Companies Inc.
COF,29686,False,Capital One Financial Corporation
PCAR,29648,True,PACCAR Inc
ALL,29639,False,The Allstate Corporation
WEC,29521,False,WEC Energy Group Inc.
TWTR,29454,False,Twitter Inc.
RMD,29286,False,ResMed Inc.
A,29275,False,Agilent Technologies Inc.
KLAC,29181,False,KLA Corporation
VRSK,29170,False,Verisk Analytics Inc.
SNPS,29158,False,Synopsys Inc.
TEL,28785,False,TE Connectivity Ltd.
CDNS,28601,False,NAN
CLX,28592,False,The Clorox Company
EOG,28543,False,EOG Resources Inc.
PSX,28410,False,Phillips 66
MAR,28372,False,Marriott International Inc.
YUM,28033,False,Yum! Brands Inc.
SYY,27888,False,Sysco Corporation
CMI,27770,True,Cummins Inc.
ZBH,27734,False,Zimmer Biomet Holdings Inc.
JCI,27374,False,Johnson Controls International plc
AZO,27297,False,AutoZone Inc.
WLTW,27235,False,Willis Towers Watson Public Limited Company
HRL,27093,False,Hormel Foods Corporation
RSG,27066,False,Republic Services Inc.
SLB,27038,False,Schlumberger Limited
KR,27001,False,The Kroger Co.
AIG,26967,False,American International Group Inc.
F,26874,True,Ford Motor Company
PEG,26429,False,Public Service Enterprise Group Incorporated
AFL,26382,False,Aflac Incorporated
ROK,26198,False,Rockwell Automation Inc.
AWK,26161,False,American Water Works Company Inc.
FAST,26094,False,Fastenal Company
PPG,27089,False,PPG Industries Inc.
PAYX,25899,False,Paychex Inc.
PRU,25639,False,Prudential Financial Inc.
MCHP,25298,False,Microchip Technology Incorporated
ED,25251,False,Consolidated Edison Inc.
