date,spy,tsla
20110601,131.869995,28.517
20110602,131.729996,28.76
20110603,130.419998,30.13
20110606,129.039993,28.7
20110607,128.960007,28.37
20110608,128.419998,27.12
20110609,129.399994,27.62
20110610,127.599998,27.86
20110613,127.699997,28.43
20110614,129.320007,28.6
20110615,127.019997,27.32
20110616,127.300003,26.5
20110617,127.050003,26.5
20110620,127.699997,26.01
20110621,129.449997,27.53
20110622,128.669998,27.21
20110623,128.300003,27.71
20110624,126.809998,27.565
20110627,127.940002,27.46
20110628,129.610001,28.11
20110629,130.720001,28.29
20110630,131.970001,29.13
20110701,133.919998,29.02
20110705,133.809998,29.14
20110706,133.970001,28.96
20110707,135.360001,29.73
20110708,134.399994,28.81
20110711,131.970001,28.35
20110712,131.399994,28.17
20110713,131.839996,28.64
20110714,130.929993,27.61
20110715,131.690002,27.58
20110718,130.610001,27.23
20110719,132.729996,27.89
20110720,132.649994,28.69
20110721,134.490005,28.7
20110722,134.580002,29.29
20110725,133.830002,28.49
20110726,133.330002,28.0
20110727,130.600006,27.64
20110728,130.220001,28.17
20110729,129.330002,28.17
20110801,128.779999,28.77
20110802,125.489998,27.34
20110803,126.169998,27.2
20110804,120.260002,24.75
20110805,120.080002,24.24
20110808,112.260002,23.64
20110809,117.480003,25.06
20110810,112.290001,23.82
20110811,117.330002,25.3
20110812,118.120003,26.31
20110815,120.620003,26.23
20110816,119.589996,26.1
20110817,119.669998,25.83
20110818,114.510002,24.26
20110819,112.639999,22.3
20110822,112.730003,21.95
20110823,116.440002,22.96
20110824,118.080002,23.87
20110825,116.279999,23.11
20110826,117.970001,23.73
20110829,121.360001,24.71
20110830,121.68,24.63
20110831,122.220001,24.74
20110901,120.940002,24.0
20110902,117.849998,23.07
20110906,116.989998,22.94
20110907,120.290001,23.84
20110908,119.040001,23.61
20110909,115.919998,22.97
20110912,116.669998,22.88
20110913,117.739998,24.08
20110914,119.370003,24.34
20110915,121.43,24.82
20110916,121.519997,25.8
20110919,120.309998,25.77
20110920,120.169998,26.01
20110921,116.629997,25.85
20110922,112.860001,25.63
20110923,113.540001,26.38
20110926,116.239998,25.52
20110927,117.540001,26.19
20110928,115.139999,24.59
20110929,116.050003,24.12
20110930,113.150002,24.39
20111003,109.93,23.73
20111004,112.339996,23.66
20111005,114.419998,25.37
20111006,116.489998,26.96
20111007,115.709999,26.99
20111010,119.580002,27.88
20111011,119.699997,27.61
20111012,120.75,27.8
20111013,120.510002,27.94
20111014,122.57,28.05
20111017,120.230003,27.42
20111018,122.580002,28.34
20111019,121.129997,27.57
20111020,121.660004,27.34
20111021,123.970001,28.03
20111024,125.489998,28.55
20111025,123.050003,28.25
20111026,124.300003,27.98
20111027,128.630005,28.76
20111028,128.600006,29.87
20111031,125.5,29.37
20111101,122.0,28.88
20111102,123.989998,28.71
20111103,126.25,32.46
20111104,125.480003,32.31
20111107,126.260002,31.27
20111108,127.879997,31.84
20111109,123.160004,30.88
20111110,124.32,31.33
20111111,126.660004,33.64
20111114,125.459999,33.22
20111115,126.080002,33.93
20111116,124.080002,34.94
20111117,122.110001,33.68
20111118,121.980003,32.6
20111121,119.660004,31.76
20111122,119.190002,32.07
20111123,116.559998,31.45
20111125,116.339996,31.66
20111128,119.709999,32.56
20111129,120.050003,31.75
20111130,124.989998,32.74
20111201,124.970001,32.6
20111202,124.860001,33.3
20111205,126.220001,34.42
20111206,126.260002,34.87
20111207,126.730003,34.19
20111208,123.949997,30.89
20111209,126.050003,31.04
20111212,124.209999,30.41
20111213,123.050003,29.45
20111214,121.739998,28.53
20111215,122.18,28.62
20111216,121.589996,28.0
20111219,120.290001,27.75
20111220,123.93,27.9
20111221,124.169998,27.57
20111222,125.269997,27.77
20111223,126.389999,27.9
20111227,126.489998,28.57
20111228,124.830002,28.51
20111229,126.120003,28.73
20111230,125.5,28.56
20120103,127.5,28.08
20120104,127.699997,27.71
20120105,128.039993,27.12
20120106,127.709999,26.91
20120109,128.020004,27.25
20120110,129.130005,27.62
20120111,129.199997,28.23
20120112,129.509995,28.25
20120113,128.839996,22.79
20120117,129.339996,26.6
20120118,130.770004,26.81
20120119,131.460007,26.76
20120120,131.949997,26.6
20120123,131.610001,26.77
20120124,131.460007,27.42
20120125,132.559998,27.97
20120126,131.880005,28.94
20120127,131.820007,29.33
20120130,131.369995,29.57
20120131,131.320007,29.07
20120201,132.470001,29.58
20120202,132.679993,30.25
20120203,134.539993,31.15
20120206,134.449997,31.8
20120207,134.789993,31.6
20120208,135.190002,31.93
20120209,135.360001,32.58
20120210,134.360001,31.1
20120213,135.360001,31.49
20120214,135.190002,33.17
20120215,134.559998,33.6
20120216,136.050003,34.18
20120217,136.410004,34.97
20120221,136.470001,34.5
20120222,136.029999,34.22
20120223,136.630005,34.53
20120224,136.929993,33.75
20120227,137.160004,33.62
20120228,137.559998,33.81
20120229,137.020004,33.41
20120301,137.729996,34.41
20120302,137.309998,34.04
20120305,136.75,33.77
20120306,134.75,33.11
20120307,135.690002,33.12
20120308,137.039993,33.07
20120309,137.570007,34.74
20120312,137.580002,36.01
20120313,140.059998,36.09
20120314,139.910004,35.29
20120315,140.720001,35.0
20120316,140.300003,35.32
20120319,140.850006,34.98
20120320,140.440002,34.96
20120321,140.210007,35.15
20120322,139.199997,34.4
20120323,139.649994,34.08
20120326,141.610001,37.4
20120327,141.169998,37.94
20120328,140.470001,37.85
20120329,140.229996,37.33
20120330,140.809998,37.24
20120402,141.839996,36.58
20120403,141.259995,38.01
20120404,139.860001,35.0
20120405,139.789993,34.48
20120409,138.220001,33.15
20120410,135.899994,32.46
20120411,137.0,33.09
20120412,138.789993,33.44
20120413,137.139999,33.59
20120416,137.050003,32.25
20120417,139.080002,32.24
20120418,138.610001,32.66
20120419,137.720001,33.16
20120420,137.949997,33.16
20120423,136.789993,31.94
20120424,137.309998,31.82
20120425,139.190002,32.91
20120426,140.160004,33.49
20120427,140.389999,33.34
20120430,139.869995,33.13
20120501,140.740005,33.78
20120502,140.320007,33.94
20120503,139.25,32.46
20120504,137.0,31.83
20120507,137.100006,32.47
20120508,136.550003,30.19
20120509,135.740005,30.06
20120510,136.020004,32.96
20120511,135.610001,32.25
20120514,134.110001,30.06
20120515,133.339996,29.43
20120516,132.830002,29.18
20120517,130.860001,28.57
20120518,129.740005,27.56
20120521,131.970001,28.77
20120522,132.199997,30.79
20120523,132.270004,31.02
20120524,132.529999,30.32
20120525,132.100006,29.81
20120529,133.699997,31.69
20120530,131.759995,30.41
20120531,131.470001,29.5
20120601,128.160004,28.15
20120604,128.100006,27.88
20120605,129.070007,27.91
20120606,131.970001,29.22
20120607,132.050003,28.93
20120608,133.100006,30.08
20120611,131.410004,29.12
20120612,132.919998,29.66
20120613,132.070007,29.77
20120614,133.470001,29.39
20120615,134.139999,29.91
20120618,134.399994,31.84
20120619,135.699997,32.09
20120620,135.479996,33.78
20120621,132.440002,32.19
20120622,133.460007,33.785
20120625,131.320007,33.11
20120626,131.979996,31.61
20120627,133.169998,31.96
20120628,132.789993,31.41
20120629,136.100006,31.29
20120702,136.509995,30.4
20120703,137.410004,30.66
20120705,136.789993,31.23
20120706,135.490005,30.99
20120709,135.320007,31.49
20120710,134.139999,31.27
20120711,134.160004,31.51
20120712,133.509995,32.7
20120713,135.75,34.25
20120716,135.429993,35.96
20120717,136.360001,33.35
20120718,137.369995,32.15
20120719,137.729996,32.27
20120720,136.470001,31.79
20120723,135.089996,30.66
20120724,133.929993,29.84
20120725,133.960007,28.95
20120726,136.169998,28.13
20120727,138.679993,29.51
20120730,138.679993,27.35
20120731,137.710007,27.42
20120801,137.589996,26.25
20120802,136.639999,26.1
20120803,139.350006,27.27
20120806,139.619995,28.27
20120807,140.320007,30.25
20120808,140.490005,29.09
20120809,140.610001,29.41
20120810,140.839996,29.94
20120813,140.770004,31.17
20120814,140.789993,29.42
20120815,140.949997,29.4
20120816,141.990005,30.3
20120817,142.179993,30.01
20120820,142.190002,29.51
20120821,141.759995,29.11
20120822,141.820007,29.95
20120823,140.660004,30.73
20120824,141.509995,29.5
20120827,141.539993,28.32
20120828,141.399994,28.69
20120829,141.509995,28.41
20120830,140.490005,28.41
20120831,141.160004,28.52
20120904,141.029999,28.14
20120905,140.910004,27.94
20120906,143.770004,28.55
20120907,144.330002,29.35
20120910,143.509995,27.37
20120911,143.910004,27.8
20120912,144.389999,28.28
20120913,146.589996,29.48
20120914,147.240005,30.39
20120917,146.740005,32.54
20120918,146.619995,31.34
20120919,146.699997,31.05
20120920,146.710007,30.9
20120921,145.869995,30.02
20120924,145.649994,30.66
20120925,144.100006,27.66
20120926,143.289993,27.54
20120927,144.639999,28.49
20120928,143.970001,29.28
20121001,144.350006,29.16
20121002,144.5,29.8
20121003,145.089996,29.3
20121004,146.130005,29.4
20121005,146.139999,28.89
20121008,145.639999,29.25
20121009,144.199997,28.37
20121010,143.279999,28.4
20121011,143.360001,28.32
20121012,142.889999,27.64
20121015,144.080002,27.33
20121016,145.539993,28.06
20121017,146.199997,28.8191
20121018,145.820007,28.04
20121019,143.389999,27.74
20121022,143.410004,27.85
20121023,141.419998,28.39
20121024,141.020004,27.42
20121025,141.429993,27.52
20121026,141.350006,27.38
20121031,141.350006,28.1314
20121101,142.830002,29.2454
20121102,141.559998,28.9182
20121105,141.850006,31.5
20121106,142.960007,31.15
20121107,139.720001,31.54
20121108,138.039993,31.31
20121109,138.160004,30.32
20121112,138.270004,31.07
20121113,137.789993,31.6143
20121114,135.929993,31.38
20121115,135.699997,30.82
20121116,136.369995,31.8399
20121119,139.130005,32.92
20121120,139.190002,33.0
20121121,139.449997,32.47
20121123,141.350006,32.13
20121126,141.050003,32.27
20121127,140.330002,32.15
20121128,141.460007,33.23
20121129,142.119995,33.69
20121130,142.149994,33.82
20121203,141.449997,34.62
20121204,141.25,33.9
20121205,141.5,33.71
20121206,141.979996,33.9
20121207,142.410004,34.17
20121210,142.470001,34.57
20121211,143.440002,35.28
20121212,143.509995,35.26
20121213,142.630005,33.61
20121214,142.100006,33.81
20121217,143.770004,34.4
20121218,145.369995,34.59
20121219,144.289993,34.61
20121220,145.119995,34.43
20121221,142.789993,34.0
20121224,142.350006,34.28
20121226,141.75,33.59
20121227,141.559998,33.69
20121228,140.029999,33.22
20121231,142.410004,33.87
20130102,146.059998,35.36
20130103,145.729996,34.77
20130104,146.369995,34.4
20130107,145.970001,34.34
20130108,145.550003,33.68
20130109,145.919998,33.64
20130110,147.080002,33.53
20130111,147.070007,32.91
20130114,146.970001,33.26
20130115,147.070007,33.9
20130116,147.050003,34.1
20130117,148.0,34.38
20130118,148.330002,34.52
20130122,149.130005,35.19
20130123,149.369995,36.0
20130124,149.410004,36.99
20130125,150.25,36.98
20130128,150.070007,38.03
20130129,150.660004,37.95
20130130,150.070007,37.52
20130131,149.699997,37.51
20130201,151.240005,38.3
20130204,149.539993,37.74
20130205,151.050003,38.13
20130206,151.160004,39.17
20130207,150.960007,39.48
20130208,151.800003,39.24
20130211,151.770004,38.42
20130212,152.020004,37.89
20130213,152.149994,38.45
20130214,152.289993,38.3
20130215,152.110001,37.04
20130219,153.25,39.28
20130220,151.339996,38.54
20130221,150.419998,35.16
20130222,151.889999,36.11
20130225,149.0,34.38
20130226,150.020004,34.43
20130227,151.910004,35.1
20130228,151.610001,34.83
20130301,152.110001,34.65
20130304,152.919998,35.58
20130305,154.289993,36.65
20130306,154.5,37.69
20130307,154.779999,38.23
20130308,155.440002,38.47
20130311,156.029999,39.1
20130312,155.679993,39.12
20130313,155.899994,38.98
20130314,156.729996,36.85
20130315,155.830002,35.29
20130318,154.970001,35.15
20130319,154.610001,35.08
20130320,155.690002,35.95
20130321,154.360001,36.01
20130322,155.600006,36.62
20130325,154.949997,37.53
20130326,156.190002,37.86
20130327,156.190002,38.16
20130328,156.669998,37.89
20130401,156.050003,43.93
20130402,156.820007,44.34
20130403,155.229996,41.1
20130404,155.860001,42.01
20130405,155.160004,41.37
20130408,156.210007,41.83
20130409,156.75,40.5
20130410,158.669998,41.86
20130411,159.190002,43.59
20130412,158.800003,43.75
20130415,155.119995,43.3
20130416,157.410004,45.59
20130417,155.110001,45.45
20130418,154.139999,46.97
20130419,155.479996,47.83
20130422,156.169998,50.19
20130423,157.779999,51.01
20130424,157.880005,50.43
20130425,158.520004,52.0
20130426,158.240005,51.2
20130429,159.300003,54.94
20130430,159.679993,53.99
20130501,158.279999,53.28
20130502,159.75,54.11
20130503,161.369995,54.55
20130506,161.779999,59.5
20130507,162.600006,55.51
20130508,163.339996,55.7865
20130509,162.880005,69.4
20130510,163.410004,76.764
20130513,163.539993,87.8
20130514,165.229996,83.24
20130515,166.119995,84.842
20130516,165.339996,92.248
20130517,166.940002,91.5
20130520,166.929993,89.94
20130521,167.169998,87.59
20130522,165.929993,87.24
20130523,165.449997,92.73
20130524,165.309998,97.08
20130528,166.300003,110.334
20130529,165.220001,104.629
20130530,165.830002,104.95
20130531,163.449997,97.76
20130603,164.350006,92.59
20130604,163.559998,94.84
20130605,161.270004,95.37
20130606,162.729996,97.35
20130607,164.800003,102.04
20130610,164.800003,100.05
20130611,163.100006,94.47
20130612,161.75,97.73
20130613,164.210007,98.18
20130614,163.179993,100.3
20130617,164.440002,102.2
20130618,165.740005,103.39
20130619,163.449997,104.68
20130620,159.399994,100.65
20130621,159.070007,99.55
20130624,157.059998,101.49
20130625,158.570007,102.4
20130626,160.139999,105.72
20130627,161.080002,109.25
20130628,160.419998,107.36
20130701,161.360001,117.179
20130702,161.210007,117.82
20130703,161.279999,115.24
20130705,163.020004,120.09
20130708,163.949997,121.61
20130709,165.130005,123.45
20130710,165.190002,122.27
20130711,167.440002,125.61
20130712,167.509995,129.9
20130715,168.149994,127.26
20130716,167.520004,109.05
20130717,167.949997,120.25
20130718,168.869995,119.03
20130719,169.169998,119.68
20130722,169.5,122.43
20130723,169.139999,122.74
20130724,168.520004,121.7
20130725,168.929993,124.07
20130726,169.110001,129.39
20130729,168.589996,134.62
20130730,168.589996,131.74
20130731,168.710007,134.28
20130801,170.660004,135.55
20130802,170.949997,138.0
20130805,170.699997,144.68
20130806,169.729996,142.15
20130807,169.179993,134.23
20130808,169.800003,153.48
20130809,169.309998,153.0
20130812,169.110001,147.38
20130813,169.610001,145.43
20130814,168.740005,139.36
20130815,166.380005,139.67
20130816,165.830002,142.0
20130819,164.770004,144.9
20130820,165.580002,149.58
20130821,164.559998,147.86
20130822,166.059998,157.1
20130823,166.619995,161.839
20130826,166.0,164.22
20130827,163.330002,167.01
20130828,163.910004,166.45
20130829,164.169998,166.06
20130830,163.649994,169.0
20130903,164.389999,168.94
20130904,165.75,170.622
20130905,165.960007,169.93
20130906,166.039993,166.97
20130909,167.630005,160.7
20130910,168.869995,166.37
20130911,169.399994,163.52
20130912,168.949997,164.93
20130913,169.330002,165.54
20130916,170.309998,166.58
