symbol,mcap_mm,desc,rank
AAPL,1605697,Apple Inc,1
AMZN,1500772,Amazon.com Inc,3
IBM,111687,IBM Corp,57
GE,60005,General Electric Co,107
F,26874,Ford Motor Co,213
RL,3413,Ralph Lauren Corp,497
